 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1   1.298701E-08   2.256112E-41
      2   1.302007E-08   2.265404E-41
      3   1.300339E-08   5.568726E-41
      4   1.298686E-08   6.374959E-11
      5   1.298639E-08   1.274977E-10
      6   1.305433E-08   2.277493E-41
      7   1.303705E-08   5.623850E-41
      8   1.301996E-08   6.391211E-11
      9   1.301944E-08   1.278222E-10
     10   1.300277E-08   1.276585E-10
     11   1.298560E-08   1.912426E-10
     12   1.298451E-08   2.549830E-10
     13   1.308983E-08   2.290255E-41
     14   1.307192E-08   5.683132E-41
     15   1.305422E-08   6.408029E-11
     16   1.305370E-08   1.281586E-10
     17   1.303642E-08   1.279889E-10
     18   1.301871E-08   1.917302E-10
     19   1.301756E-08   2.556321E-10
     20   1.300089E-08   2.553046E-10
     21   1.298310E-08   3.187173E-10
     22   1.298138E-08   3.824438E-10
     23   1.312659E-08   2.303221E-41
     24   1.310805E-08   5.743573E-41
     25   1.308972E-08   6.425453E-11
     26   1.308920E-08   1.285070E-10
     27   1.307129E-08   1.283312E-10
     28   1.305297E-08   1.922347E-10
     29   1.305182E-08   2.563048E-10
     30   1.303454E-08   2.559654E-10
     31   1.301620E-08   3.195297E-10
     32   1.301442E-08   3.834173E-10
     33   1.299775E-08   3.829262E-10
     34   1.297935E-08   4.461611E-10
     35   1.297700E-08   5.098677E-10
     36   1.316464E-08   2.316398E-41
     37   1.314545E-08   5.805204E-41
     38   1.312648E-08   6.443498E-11
     39   1.312595E-08   1.288679E-10
     40   1.310741E-08   1.286859E-10
     41   1.308846E-08   1.927574E-10
     42   1.308730E-08   2.570016E-10
     43   1.306940E-08   2.566501E-10
     44   1.305045E-08   3.203706E-10
     45   1.304867E-08   3.844263E-10
     46   1.303140E-08   3.839173E-10
     47   1.301243E-08   4.472985E-10
     48   1.301003E-08   5.111656E-10
     49   1.299337E-08   5.105108E-10
     50   1.297434E-08   5.735620E-10
     51   1.297137E-08   6.372425E-10
     52   1.320403E-08   2.329792E-41
     53   1.318417E-08   5.868058E-41
     54   1.316454E-08   6.462180E-11
     55   1.316401E-08   1.292415E-10
     56   1.314482E-08   1.290531E-10
     57   1.312522E-08   1.932987E-10
     58   1.312406E-08   2.577234E-10
     59   1.310552E-08   2.573593E-10
     60   1.308594E-08   3.212417E-10
     61   1.308415E-08   3.854715E-10
     62   1.306625E-08   3.849443E-10
     63   1.304668E-08   4.484756E-10
     64   1.304427E-08   5.125107E-10
     65   1.302700E-08   5.118322E-10
     66   1.300742E-08   5.750242E-10
     67   1.300439E-08   6.388646E-10
     68   1.298773E-08   6.380463E-10
     69   1.296809E-08   7.009077E-10
     70   1.296449E-08   7.645559E-10
     71   1.324479E-08   2.343410E-41
     72   1.322424E-08   5.932169E-41
     73   1.320393E-08   6.481515E-11
     74   1.320340E-08   1.296282E-10
     75   1.318353E-08   1.294332E-10
     76   1.316327E-08   1.938592E-10
     77   1.316211E-08   2.584706E-10
     78   1.314292E-08   2.580937E-10
     79   1.312268E-08   3.221438E-10
     80   1.312089E-08   3.865540E-10
     81   1.310236E-08   3.860080E-10
     82   1.308215E-08   4.496950E-10
     83   1.307974E-08   5.139042E-10
     84   1.306185E-08   5.132013E-10
     85   1.304164E-08   5.765374E-10
     86   1.303861E-08   6.405457E-10
     87   1.302135E-08   6.396977E-10
     88   1.300114E-08   7.026944E-10
     89   1.299749E-08   7.665021E-10
     90   1.298084E-08   7.655202E-10
     91   1.296058E-08   8.281857E-10
     92   1.295636E-08   8.917956E-10
     93   1.328695E-08   2.357258E-41
     94   1.326569E-08   5.997572E-41
     95   1.324469E-08   6.501523E-11
     96   1.324415E-08   1.300283E-10
     97   1.322360E-08   1.298266E-10
     98   1.320266E-08   1.944392E-10
     99   1.320149E-08   2.592439E-10
    100   1.318163E-08   2.588539E-10
    101   1.316073E-08   3.230778E-10
    102   1.315893E-08   3.876747E-10
    103   1.313975E-08   3.871095E-10
    104   1.311889E-08   4.509579E-10
    105   1.311647E-08   5.153474E-10
    106   1.309794E-08   5.146195E-10
    107   1.307711E-08   5.781050E-10
    108   1.307406E-08   6.422874E-10
    109   1.305618E-08   6.414089E-10
    110   1.303536E-08   7.045436E-10
    111   1.303169E-08   7.685191E-10
    112   1.301444E-08   7.675016E-10
    113   1.299362E-08   8.302969E-10
    114   1.298934E-08   8.940657E-10
    115   1.297270E-08   8.929204E-10
    116   1.295182E-08   9.553839E-10
    117   1.294698E-08   1.018949E-09
    118   1.333055E-08   2.371344E-41
    119   1.330857E-08   6.064301E-41
    120   1.328685E-08   6.522219E-11
    121   1.328631E-08   1.304422E-10
    122   1.326505E-08   1.302335E-10
    123   1.324341E-08   1.950394E-10
    124   1.324224E-08   2.600441E-10
    125   1.322169E-08   2.596406E-10
    126   1.320011E-08   3.240445E-10
    127   1.319831E-08   3.888346E-10
    128   1.317845E-08   3.882497E-10
    129   1.315693E-08   4.522654E-10
    130   1.315449E-08   5.168415E-10
    131   1.313532E-08   5.160880E-10
    132   1.311383E-08   5.797285E-10
    133   1.311077E-08   6.440910E-10
    134   1.309226E-08   6.431813E-10
    135   1.307080E-08   7.064593E-10
    136   1.306712E-08   7.706086E-10
    137   1.304925E-08   7.695546E-10
    138   1.302781E-08   8.324819E-10
    139   1.302352E-08   8.964183E-10
    140   1.300628E-08   8.952315E-10
    141   1.298484E-08   9.578194E-10
    142   1.297994E-08   1.021543E-09
    143   1.296331E-08   1.020235E-09
    144   1.294182E-08   1.082490E-09
    145   1.293635E-08   1.146005E-09
    146   1.337564E-08   2.385674E-41
    147   1.335291E-08   6.132396E-41
    148   1.333045E-08   6.543624E-11
    149   1.332991E-08   1.308703E-10
    150   1.330793E-08   1.306545E-10
    151   1.328557E-08   1.956603E-10
    152   1.328439E-08   2.608719E-10
    153   1.326314E-08   2.604545E-10
    154   1.324086E-08   3.250448E-10
    155   1.323905E-08   3.900349E-10
    156   1.321850E-08   3.894297E-10
    157   1.319629E-08   4.536186E-10
    158   1.319385E-08   5.183879E-10
    159   1.317400E-08   5.176081E-10
    160   1.315185E-08   5.814093E-10
    161   1.314879E-08   6.459584E-10
    162   1.312962E-08   6.450167E-10
    163   1.310751E-08   7.084432E-10
    164   1.310382E-08   7.727727E-10
    165   1.308531E-08   7.716812E-10
    166   1.306323E-08   8.347454E-10
    167   1.305893E-08   8.988556E-10
    168   1.304107E-08   8.976262E-10
    169   1.301901E-08   9.603399E-10
    170   1.301409E-08   1.024231E-09
    171   1.299686E-08   1.022875E-09
    172   1.297481E-08   1.085250E-09
    173   1.296928E-08   1.148922E-09
    174   1.295267E-08   1.147450E-09
    175   1.293057E-08   1.209492E-09
    176   1.292448E-08   1.272950E-09
    177   1.342225E-08   2.400256E-41
    178   1.339875E-08   6.201893E-41
    179   1.337554E-08   6.565755E-11
    180   1.337499E-08   1.313129E-10
    181   1.335227E-08   1.310898E-10
    182   1.332917E-08   1.963024E-10
    183   1.332798E-08   2.617280E-10
    184   1.330600E-08   2.612964E-10
    185   1.328301E-08   3.260795E-10
    186   1.328119E-08   3.912764E-10
    187   1.325994E-08   3.906504E-10
    188   1.323703E-08   4.550189E-10
    189   1.323458E-08   5.199880E-10
    190   1.321404E-08   5.191812E-10
    191   1.319120E-08   5.831490E-10
    192   1.318813E-08   6.478912E-10
    193   1.316829E-08   6.469165E-10
    194   1.314551E-08   7.104972E-10
    195   1.314181E-08   7.750131E-10
    196   1.312265E-08   7.738832E-10
    197   1.309992E-08   8.370897E-10
    198   1.309560E-08   9.013798E-10
    199   1.307711E-08   9.001067E-10
    200   1.305441E-08   9.629511E-10
    201   1.304948E-08   1.027016E-09
    202   1.303163E-08   1.025611E-09
    203   1.300896E-08   1.088105E-09
    204   1.300341E-08   1.151945E-09
    205   1.298619E-08   1.150420E-09
    206   1.296353E-08   1.212575E-09
    207   1.295738E-08   1.276190E-09
    208   1.294078E-08   1.274555E-09
    209   1.291807E-08   1.336377E-09
    210   1.291136E-08   1.399772E-09
    211   1.347042E-08   2.415099E-41
    212   1.344613E-08   6.272834E-41
    213   1.342215E-08   6.588634E-11
    214   1.342160E-08   1.317705E-10
    215   1.339810E-08   1.315398E-10
    216   1.337425E-08   1.969663E-10
    217   1.337306E-08   2.626132E-10
    218   1.335034E-08   2.621669E-10
    219   1.332660E-08   3.271496E-10
    220   1.332477E-08   3.925605E-10
    221   1.330280E-08   3.919131E-10
    222   1.327917E-08   4.564673E-10
    223   1.327671E-08   5.216433E-10
    224   1.325547E-08   5.208086E-10
    225   1.323192E-08   5.849491E-10
    226   1.322884E-08   6.498910E-10
    227   1.320831E-08   6.488826E-10
    228   1.318484E-08   7.126232E-10
    229   1.318113E-08   7.773320E-10
    230   1.316130E-08   7.761626E-10
    231   1.313790E-08   8.395167E-10
    232   1.313357E-08   9.039931E-10
    233   1.311442E-08   9.026752E-10
    234   1.309107E-08   9.656554E-10
    235   1.308612E-08   1.029900E-09
    236   1.306764E-08   1.028445E-09
    237   1.304433E-08   1.091064E-09
    238   1.303876E-08   1.155077E-09
    239   1.302093E-08   1.153498E-09
    240   1.299765E-08   1.215766E-09
    241   1.299147E-08   1.279548E-09
    242   1.297427E-08   1.277854E-09
    243   1.295100E-08   1.339784E-09
    244   1.294422E-08   1.403335E-09
    245   1.292764E-08   1.401538E-09
    246   1.290433E-08   1.463134E-09
    247   1.289699E-08   1.526460E-09
    248   1.352020E-08   2.430211E-41
    249   1.349510E-08   6.345260E-41
    250   1.347032E-08   6.612281E-11
    251   1.346977E-08   1.322434E-10
    252   1.344549E-08   1.320050E-10
    253   1.342085E-08   1.976527E-10
    254   1.341966E-08   2.635283E-10
    255   1.339617E-08   2.630669E-10
    256   1.337167E-08   3.282561E-10
    257   1.336984E-08   3.938881E-10
    258   1.334712E-08   3.932188E-10
    259   1.332274E-08   4.579654E-10
    260   1.332028E-08   5.233551E-10
    261   1.329831E-08   5.224920E-10
    262   1.327404E-08   5.868111E-10
    263   1.327095E-08   6.519598E-10
    264   1.324971E-08   6.509167E-10
    265   1.322554E-08   7.148229E-10
    266   1.322182E-08   7.797314E-10
    267   1.320130E-08   7.785215E-10
    268   1.317721E-08   8.420286E-10
    269   1.317287E-08   9.066979E-10
    270   1.315305E-08   9.053340E-10
    271   1.312903E-08   9.684552E-10
    272   1.312406E-08   1.032886E-09
    273   1.310493E-08   1.031380E-09
    274   1.308096E-08   1.094128E-09
    275   1.307538E-08   1.158321E-09
    276   1.305691E-08   1.156685E-09
    277   1.303299E-08   1.219072E-09
    278   1.302680E-08   1.283027E-09
    279   1.300898E-08   1.281273E-09
    280   1.298508E-08   1.343310E-09
    281   1.297828E-08   1.407028E-09
    282   1.296110E-08   1.405165E-09
    283   1.293723E-08   1.466863E-09
    284   1.292982E-08   1.530345E-09
    285   1.291326E-08   1.528385E-09
    286   1.288934E-08   1.589749E-09
    287   1.288139E-08   1.653000E-09
    288   1.357163E-08   2.445599E-41
    289   1.354571E-08   6.419214E-41
    290   1.352010E-08   6.636717E-11
    291   1.351955E-08   1.327321E-10
    292   1.349445E-08   1.324858E-10
    293   1.346902E-08   1.983621E-10
    294   1.346782E-08   2.644741E-10
    295   1.344354E-08   2.639973E-10
    296   1.341827E-08   3.294000E-10
    297   1.341643E-08   3.952606E-10
    298   1.339294E-08   3.945687E-10
    299   1.336780E-08   4.595143E-10
    300   1.336533E-08   5.251251E-10
    301   1.334261E-08   5.242328E-10
    302   1.331761E-08   5.887369E-10
    303   1.331450E-08   6.540993E-10
    304   1.329254E-08   6.530206E-10
    305   1.326764E-08   7.170984E-10
    306   1.326391E-08   7.822135E-10
    307   1.324268E-08   7.809620E-10
    308   1.321789E-08   8.446278E-10
    309   1.321353E-08   9.094967E-10
    310   1.319302E-08   9.080854E-10
    311   1.316831E-08   9.713530E-10
    312   1.316333E-08   1.035976E-09
    313   1.314353E-08   1.034418E-09
    314   1.311889E-08   1.097300E-09
    315   1.311329E-08   1.161679E-09
    316   1.309417E-08   1.159986E-09
    317   1.306959E-08   1.222495E-09
    318   1.306338E-08   1.286630E-09
    319   1.304493E-08   1.284813E-09
    320   1.302039E-08   1.346962E-09
    321   1.301357E-08   1.410854E-09
    322   1.299577E-08   1.408924E-09
    323   1.297127E-08   1.470724E-09
    324   1.296385E-08   1.534372E-09
    325   1.294668E-08   1.532341E-09
    326   1.292220E-08   1.593802E-09
    327   1.291418E-08   1.657208E-09
    328   1.289763E-08   1.655085E-09
    329   1.287312E-08   1.716211E-09
    330   1.286454E-08   1.779381E-09
    331   1.362477E-08   2.461273E-41
    332   1.359798E-08   6.494739E-41
    333   1.357154E-08   6.661966E-11
    334   1.357098E-08   1.332371E-10
    335   1.354505E-08   1.329825E-10
    336   1.351880E-08   1.990951E-10
    337   1.351759E-08   2.654514E-10
    338   1.349250E-08   2.649587E-10
    339   1.346643E-08   3.305822E-10
    340   1.346458E-08   3.966792E-10
    341   1.344030E-08   3.959641E-10
    342   1.341439E-08   4.611155E-10
    343   1.341190E-08   5.269549E-10
    344   1.338842E-08   5.260325E-10
    345   1.336265E-08   5.907281E-10
    346   1.335953E-08   6.563115E-10
    347   1.333683E-08   6.551962E-10
    348   1.331119E-08   7.194518E-10
    349   1.330743E-08   7.847805E-10
    350   1.328549E-08   7.834862E-10
    351   1.325996E-08   8.473165E-10
    352   1.325559E-08   9.123918E-10
    353   1.323438E-08   9.109320E-10
    354   1.320896E-08   9.743513E-10
    355   1.320396E-08   1.039174E-09
    356   1.318347E-08   1.037562E-09
    357   1.315814E-08   1.100584E-09
    358   1.315252E-08   1.165155E-09
    359   1.313274E-08   1.163402E-09
    360   1.310748E-08   1.226040E-09
    361   1.310125E-08   1.290361E-09
    362   1.308215E-08   1.288479E-09
    363   1.305696E-08   1.350745E-09
    364   1.305012E-08   1.414816E-09
    365   1.303169E-08   1.412818E-09
    366   1.300654E-08   1.474722E-09
    367   1.299909E-08   1.538544E-09
    368   1.298132E-08   1.536440E-09
    369   1.295621E-08   1.597996E-09
    370   1.294816E-08   1.661569E-09
    371   1.293102E-08   1.659369E-09
    372   1.290593E-08   1.720586E-09
    373   1.289728E-08   1.783911E-09
    374   1.288076E-08   1.781625E-09
    375   1.285565E-08   1.842508E-09
    376   1.284645E-08   1.905591E-09
    377   1.367965E-08   2.477243E-41
    378   1.365199E-08   6.571883E-41
