 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1   7.123742E-11  -6.848290E-42
      2   7.313257E-11  -6.606678E-42
      3   7.117915E-11  -7.032400E-12
      4   7.467147E-11  -6.204042E-42
      5   7.300667E-11  -6.507620E-12
      6   7.099445E-11  -1.405771E-11
      7   7.591724E-11  -5.858718E-42
      8   7.450157E-11  -6.064496E-12
      9   7.271955E-11  -1.304677E-11
     10   7.068297E-11  -2.106245E-11
     11   7.692409E-11  -5.564261E-42
     12   7.572084E-11  -5.693149E-12
     13   7.414126E-11  -1.219030E-11
     14   7.227377E-11  -1.960964E-11
     15   7.024546E-11  -2.803446E-11
     16   7.773792E-11  -5.314604E-42
     17   7.671326E-11  -5.383895E-12
     18   7.530951E-11  -1.146815E-11
     19   7.359486E-11  -1.837202E-11
     20   7.167342E-11  -2.618666E-11
     21   6.968302E-11  -3.496211E-11
     22   7.839765E-11  -5.104435E-42
     23   7.752062E-11  -5.128464E-12
     24   7.626712E-11  -1.086311E-11
     25   7.468809E-11  -1.732240E-11
     26   7.286795E-11  -2.460274E-11
     27   7.092309E-11  -3.276719E-11
     28   6.899702E-11  -4.183396E-11
     29   7.893629E-11  -4.929151E-42
     30   7.817877E-11  -4.919875E-12
     31   7.705115E-11  -1.036039E-11
     32   7.559009E-11  -1.643775E-11
     33   7.386290E-11  -2.325139E-11
     34   7.196720E-11  -3.087372E-11
     35   7.002773E-11  -3.933983E-11
     36   6.818913E-11  -4.863873E-11
     37   7.938190E-11  -4.784777E-42
     38   7.871843E-11  -4.752256E-12
     39   7.769380E-11  -9.947404E-12
     40   7.633293E-11  -1.569838E-11
     41   7.468850E-11  -2.210578E-11
     42   7.284163E-11  -2.924854E-11
     43   7.089994E-11  -3.717463E-11
     44   6.899248E-11  -4.589248E-11
     45   6.726125E-11  -5.536522E-11
     46   7.975834E-11  -4.667884E-42
     47   7.916598E-11  -4.620668E-12
     48   7.822299E-11  -9.613474E-12
     49   7.694481E-11  -1.508743E-11
     50   7.537173E-11  -2.114281E-11
     51   7.357043E-11  -2.786285E-11
     52   7.163310E-11  -3.530518E-11
     53   6.967391E-11  -4.349375E-11
     54   6.782261E-11  -5.241249E-11
     55   6.621557E-11  -6.200235E-11
     56   8.008597E-11  -4.575521E-42
     57   7.954411E-11  -4.520957E-12
     58   7.866301E-11  -9.349544E-12
     59   7.745054E-11  -1.459046E-11
     60   7.593666E-11  -2.034258E-11
     61   7.417552E-11  -2.669160E-11
     62   7.224549E-11  -3.370227E-11
     63   7.024688E-11  -4.141074E-11
     64   6.829712E-11  -4.981818E-11
     65   6.652350E-11  -5.888677E-11
     66   6.505449E-11  -6.853916E-11
     67   8.038215E-11  -4.505144E-42
     68   7.987235E-11  -4.449625E-12
     69   7.903497E-11  -9.147934E-12
     70   7.787196E-11  -1.419514E-11
     71   7.640478E-11  -1.968792E-11
     72   7.467684E-11  -2.571302E-11
     73   7.275425E-11  -3.234016E-11
     74   7.072453E-11  -3.961504E-11
     75   6.869313E-11  -4.755291E-11
     76   6.677769E-11  -5.613407E-11
     77   6.510054E-11  -6.530199E-11
     78   6.378064E-11  -7.496477E-11
     79   8.066171E-11  -4.454558E-42
     80   8.016753E-11  -4.403727E-12
     81   7.935725E-11  -9.002133E-12
     82   7.822832E-11  -1.389091E-11
     83   7.679531E-11  -1.916402E-11
     84   7.509253E-11  -2.490812E-11
     85   7.317532E-11  -3.119626E-11
     86   7.111958E-11  -3.808135E-11
     87   6.901936E-11  -4.559006E-11
     88   6.698237E-11  -5.371798E-11
     89   6.512382E-11  -6.242685E-11
     90   6.355916E-11  -7.164463E-11
     91   6.239687E-11  -8.126844E-11
     92   8.093732E-11  -4.421864E-42
     93   8.044416E-11  -4.380778E-12
     94   7.964585E-11  -8.906616E-12
     95   7.853657E-11  -1.366876E-11
     96   7.712541E-11  -1.875811E-11
     97   7.543907E-11  -2.426042E-11
     98   7.352354E-11  -3.025066E-11
     99   7.144428E-11  -3.678712E-11
    100   6.928464E-11  -4.390556E-11
