 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1   1.428571E-09   2.506266E-10
      2   1.349206E-09   2.785295E-40
      3   1.428571E-09   1.001265E-40
      4   1.428571E-09   7.518797E-10
      5   1.269841E-09   2.506266E-10
      6   1.349206E-09   5.012531E-10
      7   1.428571E-09   5.012531E-10
      8   1.190476E-09   2.785295E-40
      9   1.269841E-09   1.001265E-40
     10   1.428571E-09   1.253133E-09
     11   1.269841E-09   7.518797E-10
     12   1.349206E-09   1.002506E-09
     13   1.190476E-09   5.012531E-10
     14   1.428571E-09   1.002506E-09
     15   1.111111E-09   2.506266E-10
     16   1.269841E-09   5.012531E-10
     17   1.031746E-09   2.785295E-40
     18   1.111111E-09   1.001265E-40
     19   1.428571E-09   1.754386E-09
     20   1.269841E-09   1.253133E-09
     21   1.349206E-09   1.503759E-09
     22   1.190476E-09   1.002506E-09
     23   1.428571E-09   1.503759E-09
     24   1.111111E-09   7.518797E-10
     25   1.269841E-09   1.002506E-09
     26   1.031746E-09   5.012531E-10
     27   9.523810E-10   2.506266E-10
     28   1.111111E-09   5.012531E-10
     29   8.730159E-10   2.785295E-40
     30   9.523810E-10   1.001265E-40
     31   1.428571E-09   2.255639E-09
     32   1.269841E-09   1.754386E-09
     33   1.349206E-09   2.005013E-09
     34   1.190476E-09   1.503759E-09
     35   1.428571E-09   2.005013E-09
     36   1.111111E-09   1.253133E-09
     37   1.269841E-09   1.503759E-09
     38   1.031746E-09   1.002506E-09
     39   9.523810E-10   7.518797E-10
     40   1.111111E-09   1.002506E-09
     41   8.730159E-10   5.012531E-10
     42   7.936508E-10   2.506266E-10
     43   9.523810E-10   5.012531E-10
     44   7.142857E-10   2.785295E-40
     45   7.936508E-10   1.001265E-40
     46   1.428571E-09   2.756892E-09
     47   1.269841E-09   2.255639E-09
     48   1.349206E-09   2.506266E-09
     49   1.190476E-09   2.005013E-09
     50   1.428571E-09   2.506266E-09
     51   1.111111E-09   1.754386E-09
     52   1.269841E-09   2.005013E-09
     53   1.031746E-09   1.503759E-09
     54   9.523810E-10   1.253133E-09
     55   1.111111E-09   1.503759E-09
     56   8.730159E-10   1.002506E-09
     57   7.936508E-10   7.518797E-10
     58   9.523810E-10   1.002506E-09
     59   7.142857E-10   5.012531E-10
     60   6.349206E-10   2.506266E-10
     61   7.936508E-10   5.012531E-10
     62   5.555556E-10   2.785295E-40
     63   6.349206E-10   1.001265E-40
     64   1.428571E-09   3.258145E-09
     65   1.269841E-09   2.756892E-09
     66   1.349206E-09   3.007519E-09
     67   1.190476E-09   2.506266E-09
     68   1.428571E-09   3.007519E-09
     69   1.111111E-09   2.255639E-09
     70   1.269841E-09   2.506266E-09
     71   1.031746E-09   2.005013E-09
     72   9.523810E-10   1.754386E-09
     73   1.111111E-09   2.005013E-09
     74   8.730159E-10   1.503759E-09
     75   7.936508E-10   1.253133E-09
     76   9.523810E-10   1.503759E-09
     77   7.142857E-10   1.002506E-09
     78   6.349206E-10   7.518797E-10
     79   7.936508E-10   1.002506E-09
     80   5.555556E-10   5.012531E-10
     81   4.761905E-10   2.506266E-10
     82   6.349206E-10   5.012531E-10
