 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1   1.314438E-35   1.391746E-03
      2   1.366322E-05   1.391679E-03
      3   1.314099E-35   1.385505E-03
      4   2.732512E-05   1.391478E-03
      5   1.360194E-05   1.385438E-03
      6   1.305302E-35   1.379460E-03
      7   4.098439E-05   1.391143E-03
      8   2.720258E-05   1.385238E-03
      9   1.354260E-05   1.379394E-03
     10   1.296673E-35   1.373606E-03
     11   5.463970E-05   1.390673E-03
     12   4.080059E-05   1.384904E-03
     13   2.708390E-05   1.379194E-03
     14   1.348513E-05   1.373540E-03
     15   1.288209E-35   1.367938E-03
     16   6.828976E-05   1.390070E-03
     17   5.439467E-05   1.384437E-03
     18   4.062258E-05   1.378862E-03
     19   2.696897E-05   1.373342E-03
     20   1.342948E-05   1.367872E-03
     21   1.279903E-35   1.362450E-03
     22   8.193322E-05   1.389332E-03
     23   6.798350E-05   1.383836E-03
     24   5.415735E-05   1.378397E-03
     25   4.045020E-05   1.373011E-03
     26   2.685767E-05   1.367674E-03
     27   1.337560E-05   1.362384E-03
     28   1.271751E-35   1.357136E-03
     29   9.556880E-05   1.388461E-03
     30   8.156579E-05   1.383102E-03
     31   6.768690E-05   1.377799E-03
     32   5.392753E-05   1.372547E-03
     33   4.028327E-05   1.367345E-03
     34   2.674992E-05   1.362187E-03
     35   1.332344E-05   1.357071E-03
     36   1.263748E-35   1.351993E-03
     37   1.091952E-04   1.387456E-03
     38   9.514021E-05   1.382235E-03
     39   8.120993E-05   1.377068E-03
     40   6.739967E-05   1.371952E-03
     41   5.370499E-05   1.366883E-03
     42   4.012165E-05   1.361859E-03
     43   2.664560E-05   1.356875E-03
     44   1.327295E-05   1.351928E-03
     45   1.255889E-35   1.347016E-03
     46   1.228110E-04   1.386317E-03
     47   1.087055E-04   1.381234E-03
     48   9.472513E-05   1.376204E-03
     49   8.086531E-05   1.371224E-03
     50   6.712154E-05   1.366290E-03
     51   5.348952E-05   1.361399E-03
     52   3.996519E-05   1.356548E-03
     53   2.654462E-05   1.351733E-03
     54   1.322408E-05   1.346951E-03
     55   1.248169E-35   1.342199E-03
     56   1.364150E-04   1.385045E-03
     57   1.222602E-04   1.380100E-03
     58   1.082312E-04   1.375208E-03
     59   9.432316E-05   1.370364E-03
     60   8.053161E-05   1.365565E-03
     61   6.685224E-05   1.360809E-03
     62   5.328093E-05   1.356090E-03
     63   3.981373E-05   1.351407E-03
     64   2.644689E-05   1.346756E-03
     65   1.317679E-05   1.342134E-03
     66   1.240585E-35   1.337538E-03
     67   1.500058E-04   1.383639E-03
     68   1.358032E-04   1.378833E-03
     69   1.217268E-04   1.374079E-03
     70   1.077719E-04   1.369372E-03
     71   9.393392E-05   1.364709E-03
     72   8.020851E-05   1.360087E-03
     73   6.659153E-05   1.355502E-03
     74   5.307901E-05   1.350951E-03
     75   3.966715E-05   1.346431E-03
     76   2.635231E-05   1.341940E-03
     77   1.313104E-05   1.337474E-03
     78   1.233132E-35   1.333030E-03
     79   1.635822E-04   1.382099E-03
     80   1.493331E-04   1.377434E-03
     81   1.352107E-04   1.372818E-03
     82   1.212103E-04   1.368248E-03
     83   1.073272E-04   1.363721E-03
     84   9.355705E-05   1.359234E-03
     85   7.989571E-05   1.354783E-03
     86   6.633917E-05   1.350365E-03
     87   5.288358E-05   1.345977E-03
     88   3.952530E-05   1.341616E-03
     89   2.626081E-05   1.337280E-03
     90   1.308678E-05   1.332966E-03
     91   1.225806E-35   1.328670E-03
     92   1.771429E-04   1.380427E-03
     93   1.628486E-04   1.375901E-03
     94   1.486816E-04   1.371424E-03
     95   1.346370E-04   1.366992E-03
     96   1.207101E-04   1.362602E-03
     97   1.068966E-04   1.358250E-03
     98   9.319220E-05   1.353933E-03
