 *** DISPLACEMENT ***
  NODE         U              V
-----------------------------------
      1   1.314437E-40   1.391750E-08
      2   1.314098E-40   1.385508E-08
      3   1.305301E-40   1.379463E-08
      4   1.296673E-40   1.373610E-08
      5   1.288209E-40   1.367941E-08
      6   1.279903E-40   1.362453E-08
      7   1.271751E-40   1.357140E-08
      8   1.263748E-40   1.351997E-08
      9   1.255888E-40   1.347019E-08
     10   1.248169E-40   1.342202E-08
     11   1.240585E-40   1.337541E-08
     12   1.233132E-40   1.333033E-08
     13   1.225806E-40   1.328673E-08
     14   1.218604E-40   1.324457E-08
     15   1.211522E-40   1.320382E-08
     16   1.204556E-40   1.316443E-08
     17   1.197703E-40   1.312637E-08
     18   1.190960E-40   1.308962E-08
     19   1.184323E-40   1.305412E-08
     20   1.177790E-40   1.301986E-08
     21   1.178010E-40   1.298681E-08
     22   1.366321E-10   1.391682E-08
     23   1.360193E-10   1.385441E-08
     24   1.354259E-10   1.379397E-08
     25   1.348513E-10   1.373543E-08
     26   1.342948E-10   1.367875E-08
     27   1.337560E-10   1.362387E-08
     28   1.332344E-10   1.357074E-08
     29   1.327295E-10   1.351931E-08
     30   1.322408E-10   1.346954E-08
     31   1.317679E-10   1.342137E-08
     32   1.313104E-10   1.337477E-08
     33   1.308678E-10   1.332969E-08
     34   1.304398E-10   1.328609E-08
     35   1.300259E-10   1.324393E-08
     36   1.296258E-10   1.320318E-08
     37   1.292391E-10   1.316379E-08
     38   1.288655E-10   1.312574E-08
     39   1.285047E-10   1.308898E-08
     40   1.281563E-10   1.305349E-08
     41   1.278200E-10   1.301924E-08
     42   1.274955E-10   1.298618E-08
     43   2.732510E-10   1.391481E-08
     44   2.720256E-10   1.385241E-08
     45   2.708388E-10   1.379198E-08
     46   2.696895E-10   1.373345E-08
     47   2.685766E-10   1.367678E-08
     48   2.674991E-10   1.362190E-08
     49   2.664559E-10   1.356878E-08
     50   2.654462E-10   1.351736E-08
     51   2.644689E-10   1.346759E-08
     52   2.635231E-10   1.341943E-08
     53   2.626081E-10   1.337283E-08
     54   2.617230E-10   1.332776E-08
     55   2.608670E-10   1.328417E-08
     56   2.600393E-10   1.324202E-08
     57   2.592391E-10   1.320127E-08
     58   2.584658E-10   1.316189E-08
     59   2.577187E-10   1.312384E-08
     60   2.569970E-10   1.308709E-08
     61   2.563002E-10   1.305161E-08
     62   2.556276E-10   1.301735E-08
     63   2.549786E-10   1.298430E-08
     64   4.098435E-10   1.391146E-08
     65   4.080056E-10   1.384907E-08
     66   4.062256E-10   1.378865E-08
     67   4.045018E-10   1.373014E-08
     68   4.028326E-10   1.367348E-08
     69   4.012164E-10   1.361862E-08
     70   3.996518E-10   1.356551E-08
     71   3.981372E-10   1.351410E-08
     72   3.966714E-10   1.346435E-08
     73   3.952530E-10   1.341620E-08
     74   3.938806E-10   1.336961E-08
